Date,Close
1/2/2019 16:00,31.58
1/3/2019 16:00,31.75
1/4/2019 16:00,32.62
1/7/2019 16:00,33.51
1/8/2019 16:00,34.2
1/9/2019 16:00,34.48
1/10/2019 16:00,34.7
1/11/2019 16:00,34.54
1/14/2019 16:00:00,34.8
1/15/2019 16:00:00,35.59
1/16/2019 16:00:00,35.59
1/17/2019 16:00:00,35.67
1/18/2019 16:00:00,36.1
1/22/2019 16:00:00,35.66
1/23/2019 16:00:00,35.61
1/24/2019 16:00:00,35.6
1/25/2019 16:00:00,36.09
1/28/2019 16:00:00,36.06
1/29/2019 16:00:00,36.45
1/30/2019 16:00:00,36.54
1/31/2019 16:00:00,36.62
2/1/2019 16:00,37
2/4/2019 16:00,37.44
2/5/2019 16:00,37.63
2/6/2019 16:00,37.44
2/7/2019 16:00,37.05
2/8/2019 16:00,36.1
2/11/2019 16:00,36.3
2/12/2019 16:00,35.67
2/13/2019 16:00:00,35.91
2/14/2019 16:00:00,35.7
2/15/2019 16:00:00,35.82
2/19/2019 16:00:00,36.29
2/20/2019 16:00:00,36.71
2/21/2019 16:00:00,36.97
2/22/2019 16:00:00,37.01
2/25/2019 16:00:00,36.87
2/26/2019 16:00:00,37.24
2/27/2019 16:00:00,37.26
2/28/2019 16:00:00,36.99
3/1/2019 16:00,37.25
3/4/2019 16:00,35.06
3/5/2019 16:00,35.62
3/6/2019 16:00,36.07
3/7/2019 16:00,36.46
3/8/2019 16:00,35.93
3/11/2019 16:00,36.49
3/12/2019 16:00,36.77
3/13/2019 16:00:00,36.97
3/14/2019 16:00:00,37.05
3/15/2019 16:00:00,36.52
3/18/2019 16:00:00,36.87
3/19/2019 16:00:00,37.05
3/20/2019 16:00:00,37.03
3/21/2019 16:00:00,36.78
3/22/2019 16:00:00,36.61
3/25/2019 16:00:00,36.5
3/26/2019 16:00:00,36.59
3/27/2019 16:00:00,36.66
3/28/2019 16:00:00,36.63
3/29/2019 16:00:00,36.26
4/1/2019 16:00,36.4
4/2/2019 16:00,36.61
4/3/2019 16:00,36.85
4/4/2019 16:00,36.83
4/5/2019 16:00,36.96
4/8/2019 16:00,37.09
4/9/2019 16:00,36.84
4/10/2019 16:00,36.77
4/11/2019 16:00,37.17
4/12/2019 16:00,37.47
4/15/2019 16:00:00,37.27
4/16/2019 16:00:00,37.11
4/17/2019 16:00:00,37.12
4/18/2019 16:00:00,37.19
4/22/2019 16:00:00,37.33
4/23/2019 16:00:00,37.67
4/24/2019 16:00:00,37.83
4/25/2019 16:00:00,37.78
4/26/2019 16:00:00,37.4
4/29/2019 16:00:00,37.31
4/30/2019 16:00:00,36.94
5/1/2019 16:00,36.83
5/2/2019 16:00,36.3
