Date,Close
1/2/2019 16:00,135.68
1/3/2019 16:00,131.74
1/4/2019 16:00,137.95
1/7/2019 16:00,138.05
1/8/2019 16:00,142.53
1/9/2019 16:00,144.23
1/10/2019 16:00,144.2
1/11/2019 16:00,143.8
1/14/2019 16:00:00,145.39
1/15/2019 16:00:00,148.95
1/16/2019 16:00:00,147.54
1/17/2019 16:00:00,148.3
1/18/2019 16:00:00,150.04
1/22/2019 16:00:00,147.57
1/23/2019 16:00:00,144.3
1/24/2019 16:00:00,145.83
1/25/2019 16:00:00,149.01
1/28/2019 16:00:00,147.47
1/29/2019 16:00:00,144.19
1/30/2019 16:00:00,150.42
1/31/2019 16:00:00,166.69
2/1/2019 16:00,165.71
2/4/2019 16:00,169.25
2/5/2019 16:00,171.16
2/6/2019 16:00,170.49
2/7/2019 16:00,166.38
2/8/2019 16:00,167.33
2/11/2019 16:00,165.79
2/12/2019 16:00,165.04
2/13/2019 16:00:00,164.07
2/14/2019 16:00:00,163.95
2/15/2019 16:00:00,162.5
2/19/2019 16:00:00,162.29
2/20/2019 16:00:00,162.56
2/21/2019 16:00:00,160.04
2/22/2019 16:00:00,161.89
2/25/2019 16:00:00,164.62
2/26/2019 16:00:00,164.13
2/27/2019 16:00:00,162.81
2/28/2019 16:00:00,161.45
3/1/2019 16:00,162.28
3/4/2019 16:00,167.37
3/5/2019 16:00,171.26
3/6/2019 16:00,172.51
3/7/2019 16:00,169.13
3/8/2019 16:00,169.6
3/11/2019 16:00,172.07
3/12/2019 16:00,171.92
3/13/2019 16:00:00,173.37
3/14/2019 16:00:00,170.17
3/15/2019 16:00:00,165.98
3/18/2019 16:00:00,160.47
3/19/2019 16:00:00,161.57
3/20/2019 16:00:00,165.44
3/21/2019 16:00:00,166.08
3/22/2019 16:00:00,164.34
3/25/2019 16:00:00,166.29
3/26/2019 16:00:00,167.68
3/27/2019 16:00:00,165.87
3/28/2019 16:00:00,165.55
3/29/2019 16:00:00,166.69
4/1/2019 16:00,168.7
4/2/2019 16:00,174.2
4/3/2019 16:00,173.54
